Code,Country,Region,Life Exp.,GDP,Infant Mort.,Mil. Spend,School Years,CPI
AF,Afghanistan,Asia,59.61,1755,74.3,4.44,0.4,16
HT,Haiti,North America,45,1615,73.1,0.09,3.4,10
NG,Nigeria,Africa,51.3,5220,82.6,1.07,4.1,24
EG,Egypt,Africa,70.48,10137,19.6,1.86,5.3,33
AR,Argentina,South America,75.77,15816,13.3,0.76,10.1,38
CN,China,Asia,74.87,12407,13.7,1.95,6.4,45
BR,Brazil,South America,73.12,14664,14.5,1.43,7.2,38
IL,Israel,Asia,81.3,28679,3.6,6.77,12.5,59
US,United States,North America,78.51,49190,6.3,4.72,13.7,67
IE,Ireland,Europe,80.15,43316,3.5,0.6,11.5,74
GB,United Kingdom,Europe,80.09,34859,4.4,2.59,13,78
DE,Germany,Europe,80.24,40831,3.5,1.31,12,80
CA,Canada,North America,80.99,41037,4.9,1.42,14.2,74
AU,Australia,Oceania,82.09,39700,4.2,1.86,11.5,73
SE,Sweden,Europe,81.43,42330,2.4,1.27,12.8,85
NZ,New Zealand,Oceania,80.67,31270,4.9,1.13,12.3,88
NE,Niger,Africa,55.13,890,80.4,2.45,1,31
TD,Chad,Africa,49.81,2004,113.8,3.08,8.1,20
CH,Switzerland,Europe,82.5,53156,3.5,0.78,10.5,84
PY,Paraguay,South America,76.99,7526,16.6,1.04,6.2,30